DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 2m [m/s]
1/1/13,1,1.3589
1/1/13,2,1.0174
1/1/13,3,1.4143
1/1/13,4,1.0796
1/1/13,5,1.3523
1/1/13,6,2.2148
1/1/13,7,1.8417
1/1/13,8,0.9235
1/1/13,9,1.6629
1/1/13,10,0.9513
1/1/13,11,1.7716
1/1/13,12,2.6851
1/1/13,13,2.4918
1/1/13,14,2.3289
1/1/13,15,2.1584
1/1/13,16,3.1353
1/1/13,17,5.1875
1/1/13,18,5.3609
1/1/13,19,5.6845
1/1/13,20,5.532
1/1/13,21,5.8202
1/1/13,22,4.7209
1/1/13,23,3.1246
1/2/13,0,3.3593
1/2/13,1,4.7907
1/2/13,2,4.1703
1/2/13,3,2.4029
1/2/13,4,4.2571
1/2/13,5,4.3592
1/2/13,6,4.8227
1/2/13,7,3.0774
1/2/13,8,2.4114
1/2/13,9,3.3808
1/2/13,10,4.6415
1/2/13,11,3.9429
1/2/13,12,3.2549
1/2/13,13,2.9505
1/2/13,14,1.7656
1/2/13,15,2.2738
1/2/13,16,2.3606
1/2/13,17,1.3603
1/2/13,18,2.3935
1/2/13,19,1.9819
1/2/13,20,1.3865
1/2/13,21,1.6391
1/2/13,22,3.5524
1/2/13,23,2.0459
1/3/13,0,2.291
1/3/13,1,1.8512
1/3/13,2,1.1615
1/3/13,3,1.4809
1/3/13,4,1.695
1/3/13,5,1.4248
1/3/13,6,1.5522
1/3/13,7,1.8444
1/3/13,8,1.8754
1/3/13,9,1.3287
1/3/13,10,2.7038
1/3/13,11,3.2651
1/3/13,12,3.3869
1/3/13,13,3.613
1/3/13,14,3.106
1/3/13,15,2.857
1/3/13,16,2.3058
1/3/13,17,2.1181
1/3/13,18,2.424
1/3/13,19,2.5239
1/3/13,20,2.2778
1/3/13,21,2.0663
1/3/13,22,2.0733
1/3/13,23,1.7086
1/4/13,0,1.4144
1/4/13,1,1.4886
1/4/13,2,1.6258
1/4/13,3,2.2704
1/4/13,4,2.1947
1/4/13,5,1.7321
1/4/13,6,2.284
1/4/13,7,2.1738
1/4/13,8,2.0724
1/4/13,9,1.0183
1/4/13,10,1.4463
1/4/13,11,1.5793
1/4/13,12,2.6977
1/4/13,13,2.1414
1/4/13,14,2.284
1/4/13,15,1.9935
1/4/13,16,1.7143
1/4/13,17,1.2997
1/4/13,18,1.3922
1/4/13,19,2.4291
1/4/13,20,1.4301
1/4/13,21,1.3635
1/4/13,22,1.5649
1/4/13,23,1.3101
1/5/13,0,0.9988
1/5/13,1,1.9072
1/5/13,2,3.0422
1/5/13,3,2.2753
1/5/13,4,2.0604
1/5/13,5,2.9858
1/5/13,6,2.8004
1/5/13,7,1.8738
1/5/13,8,1.1844
1/5/13,9,1.4153
1/5/13,10,1.2768
1/5/13,11,2.1439
1/5/13,12,4.7479
1/5/13,13,4.6884
1/5/13,14,3.6233
1/5/13,15,3.5274
1/5/13,16,2.0203
1/5/13,17,2.063
1/5/13,18,1.923
1/5/13,19,2.9727
1/5/13,20,2.6143
1/5/13,21,1.5057
1/5/13,22,1.8287
1/5/13,23,1.1654
1/6/13,0,1.3993
1/6/13,1,1.7943
1/6/13,2,2.1311
1/6/13,3,2.3369
1/6/13,4,1.8929
1/6/13,5,1.7755
1/6/13,6,1.91
1/6/13,7,1.9133
1/6/13,8,1.9202
1/6/13,9,1.5445
1/6/13,10,1.3943
1/6/13,11,1.228
1/6/13,12,1.4134
1/6/13,13,1.3473
1/6/13,14,1.3324
1/6/13,15,1.2751
1/6/13,16,0.6822
1/6/13,17,0.9278
1/6/13,18,1.0596
1/6/13,19,1.7084
1/6/13,20,2.4347
1/6/13,21,3.4467
1/6/13,22,1.4008
1/6/13,23,1.5824
1/7/13,0,4.5893
1/7/13,1,4.8507
1/7/13,2,2.2931
1/7/13,3,1.9206
1/7/13,4,1.9421
1/7/13,5,3.1357
1/7/13,6,1.9274
1/7/13,7,1.5548
1/7/13,8,1.3337
1/7/13,9,1.8185
1/7/13,10,2.5801
1/7/13,11,3.1197
1/7/13,12,2.3292
1/7/13,13,2.9749
1/7/13,14,1.6506
1/7/13,15,1.2654
1/7/13,16,1.2289
1/7/13,17,1.6286
1/7/13,18,1.5704
1/7/13,19,1.7522
1/7/13,20,2.59
1/7/13,21,1.8041
1/7/13,22,1.6319
1/7/13,23,4.9654
1/8/13,0,5.1939
1/8/13,1,5.6397
1/8/13,2,6.4289
1/8/13,3,9.2233
1/8/13,4,7.8884
1/8/13,5,6.7618
1/8/13,6,6.2097
1/8/13,7,5.2235
1/8/13,8,5.5732
1/8/13,9,4.3238
1/8/13,10,9.8823
1/8/13,11,10.2565
1/8/13,12,9.9427
1/8/13,13,10.8608
1/8/13,14,9.0209
1/8/13,15,5.6473
1/8/13,16,6.7372
1/8/13,17,6.9664
1/8/13,18,5.7736
1/8/13,19,1.6867
1/8/13,20,1.8165
1/8/13,21,1.2291
1/8/13,22,1.7701
1/8/13,23,1.9125
1/9/13,0,2.2323
1/9/13,1,1.8168
1/9/13,2,1.2638
1/9/13,3,1.8539
1/9/13,4,2.3376
1/9/13,5,1.5167
1/9/13,6,1.8085
1/9/13,7,2.7642
1/9/13,8,1.6943
1/9/13,9,2.0895
1/9/13,10,3.0451
1/9/13,11,4.0004
1/9/13,12,2.7532
1/9/13,13,2.0804
1/9/13,14,1.0716
1/9/13,15,2.0236
1/9/13,16,1.2979
1/9/13,17,1.1529
1/9/13,18,1.2509
1/9/13,19,1.8503
1/9/13,20,2.5945
1/9/13,21,3.1407
1/9/13,22,2.3806
1/9/13,23,1.9356
1/10/13,0,2.2235
1/10/13,1,1.465
1/10/13,2,1.4484
1/10/13,3,1.413
1/10/13,4,1.3055
1/10/13,5,2.0613
1/10/13,6,1.3996
1/10/13,7,1.8819
1/10/13,8,1.0591
1/10/13,9,1.1112
1/10/13,10,1.5623
1/10/13,11,0.7408
1/10/13,12,0.7733
1/10/13,13,1.0056
1/10/13,14,1.0374
1/10/13,15,1.4617
1/10/13,16,1.3244
1/10/13,17,1.8619
1/10/13,18,1.6129
1/10/13,19,1.7617
1/10/13,20,2.1323
1/10/13,21,1.4759
1/10/13,22,1.5672
1/10/13,23,1.5147
1/11/13,0,3.8685
1/11/13,1,4.2803
1/11/13,2,4.2794
1/11/13,3,7.1894
1/11/13,4,5.7158
1/11/13,5,3.8327
1/11/13,6,4.3148
1/11/13,7,4.1985
1/11/13,8,3.1972
1/11/13,9,7.8481
1/11/13,10,7.8745
1/11/13,11,10.5905
1/11/13,12,10.1693
1/11/13,13,8.9046
1/11/13,14,6.7341
1/11/13,15,5.5915
1/11/13,16,5.4889
1/11/13,17,3.2617
1/11/13,18,2.9092
1/11/13,19,3.6187
1/11/13,20,6.0994
1/11/13,21,10.7631
1/11/13,22,10.4868
1/11/13,23,8.4447
1/12/13,0,4.8123
1/12/13,1,3.6059
1/12/13,2,2.1129
1/12/13,3,2.143
1/12/13,4,1.3136
1/12/13,5,1.1313
1/12/13,6,1.0281
1/12/13,7,1.0166
1/12/13,8,1.1983
1/12/13,9,1.6047
1/12/13,10,1.6052
1/12/13,11,0.853
1/12/13,12,1.1242
1/12/13,13,1.6787
1/12/13,14,1.761
1/12/13,15,2.2608
1/12/13,16,2.269
1/12/13,17,1.8774
1/12/13,18,2.4895
1/12/13,19,2.4341
1/12/13,20,2.3939
1/12/13,21,1.8204
1/12/13,22,2.327
1/12/13,23,2.6621
1/13/13,0,2.5657
1/13/13,1,0.8766
1/13/13,2,0.8522
1/13/13,3,0.7745
1/13/13,4,0.3348
1/13/13,5,0.4539
1/13/13,6,1.5186
1/13/13,7,1.1098
1/13/13,8,0.772
1/13/13,9,1.1853
1/13/13,10,1.1653
1/13/13,11,1.886
1/13/13,12,1.8379
1/13/13,13,2.372
1/13/13,14,2.1487
1/13/13,15,2.2698
1/13/13,16,2.307
1/13/13,17,1.9014
1/13/13,18,1.3638
1/13/13,19,0.669
1/13/13,20,0.5034
1/13/13,21,1.3018
1/13/13,22,1.9138
1/13/13,23,1.7656
1/14/13,0,1.2691
1/14/13,1,0.9787
1/14/13,2,0.662
1/14/13,3,1.2841
1/14/13,4,1.2757
1/14/13,5,0.9518
1/14/13,6,0.9462
1/14/13,7,0.8812
1/14/13,8,0.9709
1/14/13,9,0.8966
1/14/13,10,0.6689
1/14/13,11,0.9814
1/14/13,12,1.3791
1/14/13,13,2.0936
1/14/13,14,2.117
1/14/13,15,1.8089
1/14/13,16,1.5584
1/14/13,17,0.9001
1/14/13,18,2.2067
1/14/13,19,2.1785
1/14/13,20,2.1551
1/14/13,21,1.6992
1/14/13,22,2.1837
1/14/13,23,2.1365
1/15/13,0,1.4245
1/15/13,1,0.8602
1/15/13,2,1.152
1/15/13,3,1.5637
1/15/13,4,2.0732
1/15/13,5,1.963
1/15/13,6,1.4268
1/15/13,7,1.6485
1/15/13,8,0.9492
1/15/13,9,1.3844
1/15/13,10,1.2426
1/15/13,11,1.6469
1/15/13,12,3.1957
1/15/13,13,2.741
1/15/13,14,2.3402
1/15/13,15,3.4853
1/15/13,16,3.368
1/15/13,17,1.9856
1/15/13,18,1.8727
1/15/13,19,1.183
1/15/13,20,1.7817
1/15/13,21,0.759
1/15/13,22,2.387
1/15/13,23,2.0941
1/16/13,0,1.9292
1/16/13,1,1.8799
1/16/13,2,1.7064
1/16/13,3,4.1088
1/16/13,4,2.4972
1/16/13,5,3.951
1/16/13,6,2.5862
1/16/13,7,2.3216
1/16/13,8,1.4014
1/16/13,9,1.22
1/16/13,10,1.9385
1/16/13,11,3.1721
1/16/13,12,3.1587
1/16/13,13,2.6617
1/16/13,14,2.7708
1/16/13,15,2.5428
1/16/13,16,1.5589
1/16/13,17,1.6193
1/16/13,18,1.3797
1/16/13,19,2.6497
1/16/13,20,3.1
1/16/13,21,3.6772
1/16/13,22,3.6422
1/16/13,23,3.7322
1/17/13,0,3.0157
1/17/13,1,2.644
1/17/13,2,1.9609
1/17/13,3,1.6594
1/17/13,4,1.5278
1/17/13,5,2.1483
1/17/13,6,1.741
1/17/13,7,1.6434
1/17/13,8,1.5734
1/17/13,9,0.6392
1/17/13,10,1.4743
1/17/13,11,0.9607
1/17/13,12,1.527
1/17/13,13,2.9532
1/17/13,14,2.9394
1/17/13,15,2.7366
1/17/13,16,2.2628
1/17/13,17,1.9372
1/17/13,18,2.0024
1/17/13,19,1.7148
1/17/13,20,1.0377
1/17/13,21,1.7582
1/17/13,22,1.6547
1/17/13,23,5.5096
1/18/13,0,5.755
1/18/13,1,7.2691
1/18/13,2,6.9015
1/18/13,3,5.4686
1/18/13,4,1.5454
1/18/13,5,4.6603
1/18/13,6,7.4948
1/18/13,7,6.8881
1/18/13,8,7.5342
1/18/13,9,8.3343
1/18/13,10,4.6138
1/18/13,11,4.6493
1/18/13,12,5.1996
1/18/13,13,5.3878
1/18/13,14,6.1469
1/18/13,15,6.1055
1/18/13,16,6.8476
1/18/13,17,7.9972
1/18/13,18,8.021
1/18/13,19,8.3659
1/18/13,20,8.9155
1/18/13,21,8.5643
1/18/13,22,9.4348
1/18/13,23,12.2952
1/19/13,0,15.001
1/19/13,1,11.0909
1/19/13,2,12.1857
1/19/13,3,5.9714
1/19/13,4,3.9982
1/19/13,5,4.0072
1/19/13,6,5.8235
1/19/13,7,5.71
1/19/13,8,3.0101
1/19/13,9,2.8164
1/19/13,10,2.9018
1/19/13,11,2.1844
1/19/13,12,1.9432
1/19/13,13,1.939
1/19/13,14,3.9609
1/19/13,15,6.7092
1/19/13,16,6.9189
1/19/13,17,7.3075
1/19/13,18,8.1684
1/19/13,19,7.1679
1/19/13,20,7.3063
1/19/13,21,6.7545
1/19/13,22,4.3884
1/19/13,23,4.6408
1/20/13,0,1.1765
1/20/13,1,2.2896
1/20/13,2,2.2237
1/20/13,3,1.7807
1/20/13,4,1.819
1/20/13,5,2.2524
1/20/13,6,3.6657
1/20/13,7,2.5985
1/20/13,8,1.7305
1/20/13,9,2.5853
1/20/13,10,4.9469
1/20/13,11,3.464
1/20/13,12,3.1588
1/20/13,13,4.4162
1/20/13,14,2.4275
1/20/13,15,1.6784
1/20/13,16,1.6857
1/20/13,17,1.1832
1/20/13,18,1.1579
1/20/13,19,1.0464
1/20/13,20,1.1212
1/20/13,21,1.2754
1/20/13,22,1.482
1/20/13,23,1.4161
1/21/13,0,1.3591
1/21/13,1,1.1556
1/21/13,2,1.312
1/21/13,3,1.1611
1/21/13,4,1.426
1/21/13,5,0.9886
1/21/13,6,1.2803
1/21/13,7,3.2286
1/21/13,8,3.9394
1/21/13,9,2.4114
1/21/13,10,3.6353
1/21/13,11,5.9471
1/21/13,12,7.7777
1/21/13,13,7.0646
1/21/13,14,5.6682
1/21/13,15,5.0445
1/21/13,16,6.0294
1/21/13,17,6.5926
1/21/13,18,3.3076
1/21/13,19,6.3952
1/21/13,20,13.0265
1/21/13,21,10.8449
1/21/13,22,11.5061
1/21/13,23,12.1894
1/22/13,0,13.5184
1/22/13,1,11.541
1/22/13,2,13.9376
1/22/13,3,15.953
1/22/13,4,13.4175
1/22/13,5,9.3644
1/22/13,6,11.3349
1/22/13,7,7.5418
1/22/13,8,6.0351
1/22/13,9,6.5504
1/22/13,10,4.6858
1/22/13,11,4.7756
1/22/13,12,7.2685
1/22/13,13,9.4865
1/22/13,14,9.9711
1/22/13,15,10.9328
1/22/13,16,10.8356
1/22/13,17,9.7685
1/22/13,18,8.8729
1/22/13,19,8.5474
1/22/13,20,7.1484
1/22/13,21,3.6425
1/22/13,22,4.3265
1/22/13,23,8.1301
1/23/13,0,6.1115
1/23/13,1,2.0915
1/23/13,2,2.6588
1/23/13,3,2.7298
1/23/13,4,2.6717
1/23/13,5,1.7449
1/23/13,6,2.3207
1/23/13,7,1.9531
1/23/13,8,2.1086
1/23/13,9,1.9446
1/23/13,10,1.6246
1/23/13,11,1.4383
1/23/13,12,1.4005
1/23/13,13,1.1471
1/23/13,14,0.9845
1/23/13,15,1.779
1/23/13,16,2.1986
1/23/13,17,2.4751
1/23/13,18,1.9398
1/23/13,19,2.2907
1/23/13,20,1.8847
1/23/13,21,1.9659
1/23/13,22,2.5822
1/23/13,23,1.3983
1/24/13,0,2.419
1/24/13,1,2.4931
1/24/13,2,2.3181
1/24/13,3,2.0366
1/24/13,4,4.0488
1/24/13,5,3.2452
1/24/13,6,2.8186
1/24/13,7,3.465
1/24/13,8,5.0086
1/24/13,9,5.9653
1/24/13,10,5.3233
1/24/13,11,6.4664
1/24/13,12,8.076
1/24/13,13,7.2981
1/24/13,14,6.7665
1/24/13,15,8.7738
1/24/13,16,6.4998
1/24/13,17,3.7719
1/24/13,18,2.165
1/24/13,19,6.5687
1/24/13,20,7.6348
1/24/13,21,5.9793
1/24/13,22,2.2543
1/24/13,23,5.3769
1/25/13,0,3.3057
1/25/13,1,3.5237
1/25/13,2,5.5794
1/25/13,3,3.4979
1/25/13,4,2.7848
1/25/13,5,2.3088
1/25/13,6,1.2672
1/25/13,7,1.9743
1/25/13,8,1.4185
1/25/13,9,2.0083
1/25/13,10,2.2687
1/25/13,11,1.9044
1/25/13,12,2.2139
1/25/13,13,2.858
1/25/13,14,3.54
1/25/13,15,3.762
1/25/13,16,2.607
1/25/13,17,1.9742
1/25/13,18,0.7991
1/25/13,19,1.5348
1/25/13,20,1.6062
1/25/13,21,1.5777
1/25/13,22,1.5374
1/25/13,23,1.6628
1/26/13,0,2.0549
1/26/13,1,1.6331
1/26/13,2,1.7362
1/26/13,3,2.451
1/26/13,4,1.5595
1/26/13,5,3.0211
1/26/13,6,2.0947
1/26/13,7,3.6024
1/26/13,8,1.8317
1/26/13,9,1.1931
1/26/13,10,1.7424
1/26/13,11,1.5855
1/26/13,12,1.7003
1/26/13,13,1.1382
1/26/13,14,1.9804
1/26/13,15,2.032
1/26/13,16,1.7478
1/26/13,17,1.2236
1/26/13,18,1.1196
1/26/13,19,1.5137
1/26/13,20,1.5485
1/26/13,21,1.564
1/26/13,22,0.7891
1/26/13,23,0.7945
1/27/13,0,0.9703
1/27/13,1,1.0775
1/27/13,2,1.077
1/27/13,3,1.0737
1/27/13,4,1.0159
1/27/13,5,1.0409
1/27/13,6,1.5429
1/27/13,7,1.2207
1/27/13,8,1.5009
1/27/13,9,1.7416
1/27/13,10,3.7226
1/27/13,11,3.4017
1/27/13,12,3.4082
1/27/13,13,3.2789
1/27/13,14,3.5904
1/27/13,15,3.5645
1/27/13,16,3.2205
1/27/13,17,2.2765
1/27/13,18,2.2607
1/27/13,19,1.2278
1/27/13,20,2.9565
1/27/13,21,1.4735
1/27/13,22,1.8317
1/27/13,23,1.6975
1/28/13,0,1.575
1/28/13,1,1.4327
1/28/13,2,2.3838
1/28/13,3,2.1086
1/28/13,4,1.4665
1/28/13,5,1.7737
1/28/13,6,1.5613
1/28/13,7,0.7698
1/28/13,8,1.3794
1/28/13,9,1.2971
1/28/13,10,1.4248
1/28/13,11,2.0812
1/28/13,12,2.4083
1/28/13,13,4.8602
1/28/13,14,5.6242
1/28/13,15,4.1081
1/28/13,16,2.4976
1/28/13,17,1.4019
1/28/13,18,1.5218
1/28/13,19,2.3954
1/28/13,20,1.7864
1/28/13,21,2.0564
1/28/13,22,1.6284
1/28/13,23,1.3764
1/29/13,0,1.4012
1/29/13,1,2.2223
1/29/13,2,1.6432
1/29/13,3,2.4383
1/29/13,4,3.4241
1/29/13,5,1.9158
1/29/13,6,1.1649
1/29/13,7,1.5448
1/29/13,8,3.0605
1/29/13,9,5.0894
1/29/13,10,4.3862
1/29/13,11,2.8951
1/29/13,12,2.1755
1/29/13,13,2.3746
1/29/13,14,1.9875
1/29/13,15,0.587
1/29/13,16,0.9207
1/29/13,17,2.4093
1/29/13,18,2.5182
1/29/13,19,2.9537
1/29/13,20,3.5802
1/29/13,21,1.5397
1/29/13,22,1.4329
1/29/13,23,1.3753
1/30/13,0,2.2061
1/30/13,1,2.8629
1/30/13,2,2.8959
1/30/13,3,2.4976
1/30/13,4,2.3187
1/30/13,5,3.0778
1/30/13,6,3.202
1/30/13,7,6.4621
1/30/13,8,6.2263
1/30/13,9,10.4721
1/30/13,10,12.0708
1/30/13,11,11.5947
1/30/13,12,7.9165
1/30/13,13,7.6142
1/30/13,14,6.4968
1/30/13,15,3.4963
1/30/13,16,5.0691
1/30/13,17,2.5414
1/30/13,18,2.0623
1/30/13,19,1.289
1/30/13,20,1.7469
1/30/13,21,1.6963
1/30/13,22,4.4329
1/30/13,23,6.6082
1/31/13,0,8.2657
1/31/13,1,7.332
1/31/13,2,6.0698
1/31/13,3,9.2192
1/31/13,4,3.8644
1/31/13,5,2.0323
1/31/13,6,1.6468
1/31/13,7,1.7541
1/31/13,8,2.5189
1/31/13,9,2.3004
1/31/13,10,2.5991
1/31/13,11,3.1584
1/31/13,12,5.9946
1/31/13,13,6.5497
1/31/13,14,6.4988
1/31/13,15,8.3595
1/31/13,16,10.0195
1/31/13,17,6.8168
1/31/13,18,7.2014
1/31/13,19,2.2719
1/31/13,20,2.0664
1/31/13,21,2.7461
1/31/13,22,5.9394
1/31/13,23,5.2818
2/1/13,0,5.1028
2/1/13,1,5.0132
2/1/13,2,3.9442
2/1/13,3,2.5226
2/1/13,4,1.6412
2/1/13,5,2.8587
2/1/13,6,2.1285
2/1/13,7,1.8172
2/1/13,8,1.9594
2/1/13,9,4.5376
2/1/13,10,5.359
2/1/13,11,6.8394
2/1/13,12,9.012
2/1/13,13,6.1772
2/1/13,14,6.9219
2/1/13,15,5.4772
2/1/13,16,6.249
2/1/13,17,3.9637
2/1/13,18,3.9663
2/1/13,19,4.2942
2/1/13,20,4.9329
2/1/13,21,3.7721
2/1/13,22,5.2544
2/1/13,23,7.0618
2/2/13,0,7.8257
2/2/13,1,6.0403
2/2/13,2,7.4182
2/2/13,3,6.3564
2/2/13,4,2.7544
2/2/13,5,3.4111
2/2/13,6,2.3802
2/2/13,7,1.4721
2/2/13,8,2.431
2/2/13,9,1.5019
2/2/13,10,1.4958
2/2/13,11,3.2523
2/2/13,12,4.5662
2/2/13,13,6.6071
2/2/13,14,6.0704
2/2/13,15,6.2896
2/2/13,16,5.199
2/2/13,17,3.4533
2/2/13,18,1.3702
2/2/13,19,2.4455
2/2/13,20,2.7991
2/2/13,21,3.6422
2/2/13,22,3.8304
2/2/13,23,3.4659
2/3/13,0,1.7012
2/3/13,1,1.1722
2/3/13,2,1.282
2/3/13,3,1.9013
2/3/13,4,1.4589
2/3/13,5,1.1181
2/3/13,6,1.6427
2/3/13,7,1.1396
2/3/13,8,1.3487
2/3/13,9,0.9691
2/3/13,10,1.4131
2/3/13,11,2.7945
2/3/13,12,2.4963
2/3/13,13,2.4213
