% Average windspeed (mph), Max 2minute windspeed (mph), wind direction
% data from http://www.srh.noaa.gov/fwd/climo/climodata.php?file=dfwdec14,,
15.3,31,330
12.5,31,340
12.4,25,170
18,29,200
22.1,33,320
11.1,23,10
13,24,180
11.7,22,180
5.8,12,60
9.4,20,330
8.5,21,310
19.7,36,170
15,26,350
12.1,29,350
9.4,16,250
10.2,22,360
10.8,21,360
12.1,23,240
8.3,14,180
11.6,24,350
10.9,24,350
8,17,20
20.2,30,20
9.6,17,210
6.5,13,330
8.7,17,190
22.9,38,20
12.1,24,10
9.1,20,180
20.4,39,190
17.1,24,180
15.2,31,190
16.5,28,350
7.6,14,110
8.6,21,330
18.7,29,360
11.7,22,360
5.4,12,150
9.5,16,160
8.6,20,10
14.8,22,10
11.7,21,20
8.6,15,330
8.1,16,170
15,33,340
8.6,24,190
12.8,25,180
12.4,25,350
9.8,24,230
13.7,29,180
18.9,32,320
10.3,20,180
15.3,25,190
12.8,24,20
6.3,12,20
12.6,25,10
15.1,31,10
6.6,17,170
14.1,25,180
8.5,24,160
20.6,31,330
13.9,28,330
5.3,16,130
7.3,21,120
9.8,18,10
12.8,26,160
13.8,24,330
7.3,18,330
9.9,20,170
17,37,350
18.2,36,350
9.4,21,200
13.6,31,180
8.6,28,280
21,36,340
9.6,18,340
20.3,33,340
12.1,23,350
7.4,15,170
14.8,29,190
11.8,22,350
15.5,30,20
4,13,140
9.7,23,20
16.3,30,180
17.9,31,190
13.8,25,340
8.7,18,360
13.8,26,170
18.5,28,180
15.3,24,160
17.3,28,170
19.4,35,340
12.7,31,340
9.2,20,110
10.7,21,350
8.5,37,330
16.1,33,330
11.3,23,170
21.4,33,190
17.3,24,170
21.9,33,170
20.3,31,190
21.7,32,330
7.4,15,310
16.6,29,170
7.2,15,150
4.5,13,20
7.3,17,150
11,24,190
8.1,16,180
6.6,15,30
12.5,24,160
15.7,26,330
9.1,17,130
17.3,29,160
16.6,29,170
11.1,22,20
17.3,31,310
14.9,28,350
8,23,350
8.2,22,300
4.7,13,160
15.2,26,170
18.4,28,160
20.7,30,170
20.9,29,160
10,33,210
9.1,22,190
15.8,25,200
20.3,30,170
16.6,40,270
16.7,25,10
12.3,25,350
10.1,20,310
10.8,23,190
9.7,21,180
14.9,24,150
21.5,31,170
21.5,30,180
16.6,25,180
13,23,150
11.7,20,180
12.3,22,160
10.3,39,220
9.3,22,170
6.4,17,170
8.3,17,10
7.6,15,340
8.3,16,20
6.9,15,70
10.8,20,160
13,22,170
11.4,21,160
15.9,25,180
14.8,25,180
13.7,23,180
14.3,25,200
9.3,22,240
11.4,39,320
13.3,23,310
10.3,20,160
11.2,25,50
8.7,15,40
15,26,170
18.5,29,170
18.6,29,190
20.3,28,180
17.9,29,140
14.4,24,180
9.6,18,200
8.9,16,200
10,25,170
9.3,26,330
6.8,33,290
8,24,160
13.4,22,140
19.1,30,160
17.1,26,170
17.7,25,170
19.7,32,190
13,26,180
9.2,20,360
7.6,26,360
7.1,18,120
9.6,16,160
10.2,16,160
12,21,190
11.2,21,200
9.1,16,200
12.9,22,180
12.4,22,170
10.6,18,180
7.7,16,190
8.6,24,350
12.7,23,20
9.6,25,190
10.7,17,70
9.9,15,360
5.4,10,130
7.9,15,130
8.2,16,130
7.1,15,70
5.3,23,100
7,15,290
8.8,18,170
13,21,180
10.7,18,190
11.8,26,350
4,17,260
11.4,22,150
12.5,22,320
9.5,16,360
8.5,16,30
8.4,17,40
6.7,14,50
4.9,24,130
11.1,20,160
10.8,18,170
12.3,28,320
10.7,21,60
7.9,32,140
7.8,20,10
9.8,21,350
6.2,13,40
7.4,16,130
10.6,18,150
11,26,190
10.5,37,250
6.9,18,200
10.5,24,140
15.1,26,150
15.7,24,200
14,23,210
11.8,17,140
10.4,15,170
6.8,13,120
7,16,70
6.8,15,100
8.7,18,140
6.9,18,140
7.1,15,140
12.8,24,170
17.1,24,160
13.7,21,150
14.6,24,170
13,21,150
8.4,14,140
9.2,29,310
7.1,14,10
6.6,14,150
12.7,22,200
15.7,25,200
11.8,20,350
15.1,28,10
11,23,20
3.4,10,100
2.7,9,170
3.7,12,80
6.5,21,160
7.6,17,40
6.9,14,100
8.6,16,130
3.8,14,40
9.9,18,70
7.2,16,130
5,13,70
3.9,12,80
4.8,13,50
5.5,14,120
5.6,14,20
6.1,14,80
8.4,16,160
12.7,22,190
16.1,40,320
10.9,24,10
6.5,15,180
11.7,20,200
12.3,21,190
12.7,21,170
14,22,130
14.3,24,170
12.9,41,310
11.5,20,310
11.1,24,190
17,38,310
14,28,330
2.5,10,350
11.4,23,200
7.2,14,30
8.7,17,60
6.1,18,130
3.5,10,210
4.3,15,140
6.2,16,130
7,15,140
7.9,15,170
8.8,13,190
13.2,25,180
18.3,28,180
11.9,23,190
7.5,14,20
5.9,15,190
13.3,24,360
8.8,17,130
14.7,22,160
15.7,25,190
12.5,31,20
8,14,340
8,16,20
8,16,200
12.7,28,10
10.3,23,190
19.9,36,200
19.6,35,320
18.4,26,340
14.7,24,350
4.4,10,140
13,22,170
14.5,28,330
11.5,25,330
9.9,20,200
9.2,18,230
9.1,20,210
12.4,20,140
12.6,23,140
15.7,31,290
8.4,20,320
6.9,16,290
10.5,18,350
6.5,21,30
14.7,28,200
19,30,190
17.7,31,200
16.9,26,350
6.4,14,340
7.9,15,140
8,18,160
12.6,24,220
13.3,21,350
6.6,14,340
5.8,13,330
2.4,9,40
5.2,13,130
7.4,14,190
8.6,16,170
13.4,24,190
13.4,23,170
14.4,24,310
11,25,330
7.1,18,120
5.8,12,40
8.2,16,10
5,10,350
12.2,21,170
12.7,29,190
11.7,23,350
14.4,26,320
17.9,36,190
9.5,18,150
16.3,29,330
7.2,14,340
8.2,15,150
12.8,22,10
12.3,23,20
